source,target,Year,weights,totalweightkg,totalvalueofgoodsusd
Baltic Catch SE Solutions,Mar del Este CJSC,2033,12,225750,764145
Baltic Catch SE Solutions,Olas del Sur Ltd,2029,11,251935,1255530
Baltic Catch SE Solutions,Olas del Sur Ltd,2030,43,887785,3201100
Baltic Catch SE Solutions,Olas del Sur Ltd,2031,107,2320960,8029495
Baltic Catch SE Solutions,Olas del Sur Ltd,2032,77,1680535,5558350
Baltic Flounder Salt spray LLC Marine conservation,Selous Game Reserve  S.A. de C.V.,2028,1,17185,214040
Baltic Flounder Salt spray LLC Marine conservation,Selous Game Reserve  S.A. de C.V.,2030,18,323760,2974960
Baltic Flounder Salt spray LLC Marine conservation,Selous Game Reserve  S.A. de C.V.,2031,1,25400,289025
Baltic Flounder Salt spray LLC Marine conservation,Selous Game Reserve  S.A. de C.V.,2032,1,19995,243080
Baltic Flounder Salt spray LLC Marine conservation,Selous Game Reserve  S.A. de C.V.,2033,2,34505,434170
Banded tilapia Sextant Pic Marine life,David Ltd. Liability Co Forwading,2033,12,276775,814305
Banded tilapia Sextant Pic Marine life,David Ltd. Liability Co Forwading,2034,13,311600,848915
Banded tilapia Sextant Pic Marine life,Lake Victoria Nile    Corporation,2031,1,21805,99630
Banded tilapia Sextant Pic Marine life,Lake Victoria Nile    Corporation,2032,9,203230,628830
Banded tilapia Sextant Pic Marine life,Lake Victoria Nile    Corporation,2033,14,328270,951010
Banded tilapia Sextant Pic Marine life,Lake Victoria Nile    Corporation,2034,4,107255,293595
Barents Sea Shrimp NV,Mar del Este CJSC,2030,10,191380,599955
Barents Sea Shrimp NV,Mar del Este CJSC,2032,4,78840,254315
Barents Sea Shrimp NV,Mar del Este CJSC,2033,13,250275,NA
Barents Sea Shrimp NV,Mar del Este CJSC,2034,12,235950,870675
Barents Sea Shrimp NV,Orange River   Incorporated Shipping,2029,4,79415,204525
Barents Sea Shrimp NV,Orange River   Incorporated Shipping,2030,26,507885,1412280
Barents Sea Shrimp NV,Orange River   Incorporated Shipping,2031,2,36790,122595
Barents Sea Shrimp NV,Orange River   Incorporated Shipping,2032,5,96365,479340
Barents Sea Shrimp NV,Orange River   Incorporated Shipping,2033,4,74055,818505
Bay of Bengal's Anchor,David Ltd. Liability Co Forwading,2032,4,84420,255515
Bay of Bengal's Anchor,David Ltd. Liability Co Forwading,2033,85,2053545,NA
Bay of Bengal's Anchor,David Ltd. Liability Co Forwading,2034,51,1087860,NA
Belgian Cod BV Solutions,Costa de la Felicidad Shipping,2033,7,100350,NA
Belgian Cod BV Solutions,Costa de la Felicidad Shipping,2034,29,416415,1831490
Belgian Scallop Compass Limited Liability Company Line,Brisa del Este BV,2028,100,1991590,5450230
Belgian Scallop Compass Limited Liability Company Line,Brisa del Este BV,2029,19,399820,934865
Belgian Scallop Harbor ОАО Freight ,Olas del Sur Ltd,2028,1,21515,103040
Belgian Scallop Harbor ОАО Freight ,Olas del Sur Ltd,2029,2,69025,298655
Belgian Scallop Harbor ОАО Freight ,Olas del Sur Ltd,2034,85,2022505,6682820
Big Sulphur  A/S Freight ,Greek ermen Plc Marine sanctuary,2033,11,215410,1953535
Big Sulphur  A/S Freight ,Greek ermen Plc Marine sanctuary,2034,21,458960,4305305
Big Sulphur  S.A. de C.V.,Olas del Sur Ltd,2030,10,223380,737110
Big Sulphur  S.A. de C.V.,Olas del Sur Ltd,2031,67,1484350,6267885
Black Sea Anchovy S.p.A. Brothers,Selous Game Reserve  S.A. de C.V.,2028,16,281015,3207005
Black Sea Anchovy S.p.A. Brothers,Selous Game Reserve  S.A. de C.V.,2029,29,498435,6450380
Black Sea Anchovy S.p.A. Brothers,Selous Game Reserve  S.A. de C.V.,2030,12,205770,1953605
Black Sea Anchovy S.p.A. Brothers,Selous Game Reserve  S.A. de C.V.,2032,6,126510,1040580
Black Sea Anchovy S.p.A. Brothers,Selous Game Reserve  S.A. de C.V.,2033,7,119135,1418720
Black Sea Anchovy S.p.A. Brothers,Selous Game Reserve  S.A. de C.V.,2034,1,17095,198065
Black Sea Carp OJSC,Selous Game Reserve  S.A. de C.V.,2030,2,35105,179305
Black Sea Carp OJSC,Selous Game Reserve  S.A. de C.V.,2031,2,35360,300075
Black Sea Carp OJSC,Selous Game Reserve  S.A. de C.V.,2032,8,132900,1237705
Black Sea Carp OJSC,Selous Game Reserve  S.A. de C.V.,2033,8,163640,NA
Black Sea Carp OJSC,Selous Game Reserve  S.A. de C.V.,2034,4,88350,882535
Black Sea Sprat Coast AG Shipping,AtlanticAppetite Oyster  Ltd. Corporation Investment,2032,18,352905,3153125
