source,target,Year,weights,totalweightkg,totalvalueofgoodsusd
3 Logistics Tom yum,Pao gan LC Freight ,2030,4,72835,420205
3 Logistics Tom yum,Pao gan LC Freight ,2031,8,153010,734070
3 Logistics Tom yum,Pao gan LC Freight ,2032,30,577080,2842695
3 Logistics Tom yum,Pao gan LC Freight ,2033,31,575140,NA
3 Logistics Tom yum,Pao gan LC Freight ,2034,35,680780,NA
4 Limited Liability Company Seaport,AtlanticAppetite Oyster  Ltd. Corporation Investment,2032,12,196745,1404615
4 Limited Liability Company Seaport,AtlanticAppetite Oyster  Ltd. Corporation Investment,2033,44,721350,5314730
4 Limited Liability Company Seaport,AtlanticAppetite Oyster  Ltd. Corporation Investment,2034,66,1121745,8331630
4 Limited Liability Company Seaport,Pao gan SE Seal,2029,27,578000,3297935
4 Limited Liability Company Seaport,Pao gan SE Seal,2030,88,1910790,12408345
4 Limited Liability Company Seaport,Pao gan SE Seal,2033,10,160925,1159350
4 Limited Liability Company Seaport,Pao gan SE Seal,2034,10,145835,1005970
4 N.V. Marine biology,Sea Striders GmbH Industrial,2028,23,807775,NA
4 N.V. Marine biology,Sea Striders GmbH Industrial,2029,28,889400,6207330
4 N.V. Marine biology,Sea Striders GmbH Industrial,2030,20,751310,4828055
4 N.V. Marine biology,Sea Striders GmbH Industrial,2031,16,504895,3565380
4 N.V. Marine biology,Sea Striders GmbH Industrial,2032,25,828525,NA
4 N.V. Marine biology,Sea Striders GmbH Industrial,2033,39,1157470,NA
4 N.V. Marine biology,Sea Striders GmbH Industrial,2034,17,520825,NA
4 S.A. de C.V. Shipping,Océano de Coral Corporation Express,2028,24,455445,2248645
4 S.A. de C.V. Shipping,Océano de Coral Corporation Express,2029,28,534035,2688815
4 S.A. de C.V. Shipping,Océano de Coral Corporation Express,2030,13,235750,1172945
4 S.A. de C.V. Shipping,Océano de Coral Corporation Express,2031,2,37755,183340
4 S.A. de C.V. Shipping,Océano de Coral Corporation Express,2032,1,17635,119065
9 Charter Boat  Plc Overseas,Costa del Sol A/S,2030,30,1166390,4320390
9 Charter Boat  Plc Overseas,Costa del Sol A/S,2031,27,965850,3618260
9 Charter Boat  Plc Overseas,Costa del Sol A/S,2032,30,817255,2905015
9 Charter Boat  Plc Overseas,Costa del Sol A/S,2033,31,1041200,3542680
9 Charter Boat  Plc Overseas,Costa del Sol A/S,2034,32,800905,2451410
9 Charter Boat  Plc Overseas,Kong zhong diao yu  Ges.m.b.H.,2028,27,1091560,4978090
9 Charter Boat  Plc Overseas,Kong zhong diao yu  Ges.m.b.H.,2029,49,1812000,8380015
9 Charter Boat  Plc Overseas,Kong zhong diao yu  Ges.m.b.H.,2030,30,1071285,4595095
9 Charter Boat  Plc Overseas,Punjab s Marine conservation,2028,55,913970,NA
9 Marine biology Ltd Family,Caracola del Sol Services,2030,1,17670,167025
9 Marine biology Ltd Family,Caracola del Sol Services,2031,29,502485,6016875
9 Marine biology Ltd Family,Caracola del Sol Services,2032,28,493075,5193410
9 Marine biology Ltd Family,Caracola del Sol Services,2033,2,35220,388120
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2028,2,36085,348185
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2029,1,16985,210020
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2030,2,35175,391120
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2032,52,1273105,15067870
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2033,70,1519010,NA
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,2034,47,914360,NA
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2028,7,125460,1364720
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2029,15,276465,3170455
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2030,12,228515,2374235
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2031,6,119850,1128865
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2032,12,280800,2493440
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2033,31,774800,NA
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,2034,23,544440,NA
Adriatic Catch Ltd. Liability Co Transportation,Costa de la Felicidad Shipping,2029,12,213740,2603395
Adriatic Catch Ltd. Liability Co Transportation,Costa de la Felicidad Shipping,2030,12,216895,1871090
Adriatic Catch Ltd. Liability Co Transportation,Costa de la Felicidad Shipping,2031,18,373540,3623540
Adriatic Catch Ltd. Liability Co Transportation,Costa de la Felicidad Shipping,2032,18,375845,3748835
Adriatic Catch Ltd. Liability Co Transportation,Costa de la Felicidad Shipping,2033,13,261815,NA
Adriatic Catch Ltd. Liability Co Transportation,Costa de la Felicidad Shipping,2034,27,531375,NA
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,2028,9,160400,1655845
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,2029,29,522245,6071695
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,2030,40,732730,13727985
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,2031,49,956015,25630580
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,2032,25,521445,6145100
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,2033,39,814270,NA
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,2034,14,289330,4079710
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,2028,10,178890,2080150
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,2029,34,608780,7301475
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,2030,38,676400,6290195
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,2031,12,232300,2353050
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,2032,43,887235,9856975
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,2033,5,100950,NA
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,2034,2,38720,NA
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2028,4,71945,737265
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2029,5,89940,1108390
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2030,12,214870,1909175
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2031,31,604385,5884500
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2032,20,419705,4124175
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,2033,27,589455,NA
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,2028,30,513775,5912815
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,2029,23,409395,4943275
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,2030,18,315640,2918670
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,2031,6,108740,1022485
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,2032,18,374230,3548830
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,2033,64,1245455,NA
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,2034,126,2482950,NA
Adriatic Tuna AS Solutions,Caracola del Sol Services,2028,21,335855,3795590
Adriatic Tuna AS Solutions,Caracola del Sol Services,2029,20,318995,3276050
Adriatic Tuna AS Solutions,Caracola del Sol Services,2030,47,716330,6706555
Adriatic Tuna AS Solutions,Caracola del Sol Services,2031,40,600325,5864410
Adriatic Tuna AS Solutions,Caracola del Sol Services,2032,130,2083135,19931565
Adriatic Tuna AS Solutions,Caracola del Sol Services,2033,107,1785610,17630160
Adriatic Tuna AS Solutions,Caracola del Sol Services,2034,55,916700,9514780
Adriatic Tuna AS Solutions,Costa de la Felicidad Shipping,2028,2,37240,384140
Adriatic Tuna AS Solutions,Costa de la Felicidad Shipping,2029,7,129965,1486855
Adriatic Tuna AS Solutions,Costa de la Felicidad Shipping,2030,33,597055,5450630
Adriatic Tuna AS Solutions,Costa de la Felicidad Shipping,2031,25,486970,4683335
Adriatic Tuna AS Solutions,Costa de la Felicidad Shipping,2032,2,40600,417245
Adriatic Tuna AS Solutions,Costa de la Felicidad Shipping,2034,1,23060,252015
Adriatic Tuna AS Solutions,Madagascar Coast  AG Freight ,2030,3,56145,537375
Adriatic Tuna AS Solutions,Madagascar Coast  AG Freight ,2031,4,73375,701180
Adriatic Tuna AS Solutions,Madagascar Coast  AG Freight ,2032,5,71660,742235
Adriatic Tuna AS Solutions,Madagascar Coast  AG Freight ,2033,5,81105,897465
Adriatic Tuna AS Solutions,Madagascar Coast  AG Freight ,2034,64,984870,11462745
Adriatic Tuna Ltd. Liability Co,Caracola del Sol Services,2028,116,2905595,NA
Adriatic Tuna Ltd. Liability Co,Caracola del Sol Services,2029,2,55020,172855
Adriatic Tuna Ltd. Liability Co,Caracola del Sol Services,2030,67,1712570,7535180
Adriatic Tuna Ltd. Liability Co,Caracola del Sol Services,2031,27,701620,2362335
Adriatic Tuna Shipyard GmbH United,Brisa del Este BV,2029,4,92960,671215
Adriatic Tuna Shipyard GmbH United,Brisa del Este BV,2030,32,827260,7664720
Adriatic Tuna Shipyard GmbH United,Brisa del Este BV,2031,14,326915,3288850
Adriatic Tuna Shipyard GmbH United,Brisa del Este BV,2032,24,654170,7074765
Adriatic Tuna Shipyard GmbH United,Brisa del Este BV,2033,20,547270,NA
Adriatic Tuna Shipyard GmbH United,Brisa del Este BV,2034,15,408405,NA
Adriatic Tuna ОАО Carriers,Olas del Sur Ltd,2028,16,347750,2226700
Adriatic Tuna ОАО Carriers,Olas del Sur Ltd,2029,39,639210,NA
Adriatic Tuna ОАО Carriers,Olas del Sur Ltd,2030,3,63030,453210
Adriatic Tuna ОАО Carriers,Olas del Sur Ltd,2031,9,189120,1467880
Ancla de Oro N.V.,Pao gan SE Seal,2028,1,19070,206035
Ancla de Oro N.V.,Pao gan SE Seal,2029,173,3556980,45558785
Ancla de Oro N.V.,Pao gan SE Seal,2030,99,2062865,22105125
Ancla de Oro N.V.,Pao gan SE Seal,2031,1,20975,197135
Ancla de Oro N.V.,hǎi dǎn Corporation Wharf,2028,7,159230,2045290
Ancla de Oro N.V.,hǎi dǎn Corporation Wharf,2029,30,611045,8082125
Ancla de Oro N.V.,hǎi dǎn Corporation Wharf,2030,14,293805,2786620
Ancla de Oro N.V.,hǎi dǎn Corporation Wharf,2031,4,77315,500215
Ancla del Este AS,3 Oceanography ОАО Marine life,2028,14,293880,NA
Ancla del Este AS,3 Oceanography ОАО Marine life,2029,33,655020,6223330
Ancla del Este AS,3 Oceanography ОАО Marine life,2030,21,409595,3886970
Andhra Pradesh   Sextant Oyj Forwading,Brisa del Este BV,2030,19,398960,3110710
Andhra Pradesh   Sextant Oyj Forwading,Brisa del Este BV,2031,20,402165,2462600
Andhra Pradesh   Sextant Oyj Forwading,Brisa del Este BV,2032,13,259750,2832175
Andhra Pradesh   Sextant Oyj Forwading,Brisa del Este BV,2033,16,317485,NA
Andhra Pradesh   Sextant Oyj Forwading,Brisa del Este BV,2034,14,275750,NA
Andhra Pradesh   Sextant Oyj Forwading,Caracola del Sol Services,2031,12,267845,2332005
Andhra Pradesh   Sextant Oyj Forwading,Caracola del Sol Services,2032,1,24510,280175
Andhra Pradesh   Sextant Oyj Forwading,Caracola del Sol Services,2033,33,696845,NA
Andhra Pradesh   Sextant Oyj Forwading,Caracola del Sol Services,2034,12,260515,NA
Andhra Pradesh   Sextant Oyj Forwading,Costa del Viento Fish  S.p.A. United,2031,30,729525,4612355
Andhra Pradesh   Sextant Oyj Forwading,Costa del Viento Fish  S.p.A. United,2033,38,803000,5600710
Andhra Pradesh   Sextant Oyj Forwading,Costa del Viento Fish  S.p.A. United,2034,68,1550605,11404090
Andhra Pradesh   Sextant Oyj Forwading,Mar del Este CJSC,2031,1,21520,53225
Andhra Pradesh   Sextant Oyj Forwading,Mar del Este CJSC,2032,1,23240,266155
Andhra Pradesh   Sextant Oyj Forwading,Mar del Este CJSC,2033,11,235535,1859965
Andhra Pradesh   Sextant Oyj Forwading,Mar del Este CJSC,2034,89,2005020,14814075
Andhra Pradesh   Sextant Oyj Forwading,Yu xian  SRL Industrial,2032,44,860105,6707730
Andhra Pradesh   Sextant Oyj Forwading,Yu xian  SRL Industrial,2033,44,806600,NA
Andhra Pradesh   Sextant Oyj Forwading,Yu xian  SRL Industrial,2034,70,1321130,NA
Andhra Pradesh   Sextant Oyj Forwading,hǎi dǎn Corporation Wharf,2028,19,416380,NA
Andhra Pradesh   Sextant Oyj Forwading,hǎi dǎn Corporation Wharf,2031,17,388185,3168195
Andhra Pradesh   Sextant Oyj Forwading,hǎi dǎn Corporation Wharf,2032,2,43180,326240
Andhra Pradesh   Sextant Oyj Forwading,hǎi dǎn Corporation Wharf,2033,6,129940,NA
Andhra Pradesh   Sextant Oyj Forwading,hǎi dǎn Corporation Wharf,2034,20,450910,3285860
Andhra Pradesh  Ltd. Liability Co,hǎi dǎn Corporation Wharf,2028,65,818225,7560010
Andhra Pradesh  Ltd. Liability Co,hǎi dǎn Corporation Wharf,2029,46,645785,5411780
Andhra Pradesh  Ltd. Liability Co,hǎi dǎn Corporation Wharf,2030,47,683120,5804725
Angeline Sea NV Worldwide,Belgian Cod BV Solutions,2032,86,2099205,15218925
Angeline Sea NV Worldwide,Belgian Cod BV Solutions,2033,168,4172960,32628500
Angeline Sea NV Worldwide,Belgian Cod BV Solutions,2034,224,5760080,36869105
Aqua Advancements Sagl Transport,Caracola Azul Oyj &,2029,4,182110,511650
Aqua Advancements Sagl Transport,Caracola Azul Oyj &,2030,40,1210980,4098775
Aqua Advancements Sagl Transport,Caracola Azul Oyj &,2031,156,2218205,11400065
Aqua Advancements Sagl Transport,Caracola Azul Oyj &,2032,164,2349540,15142090
Aqua Advancements Sagl Transport,Caracola Azul Oyj &,2033,46,645010,2765520
Aqua Advancements Sagl Transport,Caracola Azul Oyj &,2034,14,193945,1047135
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,2028,81,1486895,15277045
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,2029,23,422035,5200510
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,2030,30,551230,5109785
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,2031,8,150105,1487715
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,2032,45,854000,8091585
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,2033,47,871320,NA
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,2034,57,1072285,12500435
Aqua Adventures Carriers Seabed,Caracola del Sol Services,2028,2,33615,326200
Aqua Adventures Carriers Seabed,Caracola del Sol Services,2029,13,238660,2648165
Aqua Adventures Carriers Seabed,Caracola del Sol Services,2030,29,535655,5116715
Aqua Adventures Carriers Seabed,Caracola del Sol Services,2031,44,826010,7989410
Aqua Adventures Carriers Seabed,Caracola del Sol Services,2032,25,471550,4808450
Aqua Adventures Carriers Seabed,Caracola del Sol Services,2033,16,304305,3291645
Aqua Adventures Carriers Seabed,Caracola del Sol Services,2034,13,240145,NA
Aqua Adventures Carriers Seabed,Costa de la Felicidad Shipping,2029,7,134050,1549035
Aqua Adventures Carriers Seabed,Costa de la Felicidad Shipping,2030,15,276015,2822515
Aqua Adventures Carriers Seabed,Costa de la Felicidad Shipping,2031,35,612960,6065590
Aqua Adventures Carriers Seabed,Costa de la Felicidad Shipping,2032,28,513900,4947065
Aqua Adventures Carriers Seabed,Costa de la Felicidad Shipping,2033,20,359740,NA
Aqua Adventures Carriers Seabed,Costa de la Felicidad Shipping,2034,18,340530,3201575
Aqua Adventures Carriers Seabed,Lake Turkana  Charter Boat  NV Marine,2028,42,658060,6939495
Aqua Adventures Carriers Seabed,Lake Turkana  Charter Boat  NV Marine,2029,36,573215,6672475
Aqua Adventures Carriers Seabed,Lake Turkana  Charter Boat  NV Marine,2030,55,904685,8650285
Aqua Adventures Carriers Seabed,Lake Turkana  Charter Boat  NV Marine,2031,58,872760,8348255
Aqua Adventures Carriers Seabed,Sea Breeze Corporation Marine sanctuary,2028,46,836330,8664375
Aqua Adventures Carriers Seabed,Sea Breeze Corporation Marine sanctuary,2029,25,437895,5152725
Aqua Adventures Carriers Seabed,Sea Breeze Corporation Marine sanctuary,2030,13,240785,2300060
Aqua Adventures Carriers Seabed,Sea Breeze Corporation Marine sanctuary,2031,12,227360,2197930
Aqua Adventures Carriers Seabed,Sea Breeze Corporation Marine sanctuary,2032,16,292220,2779265
Aqua Adventures Carriers Seabed,Sea Breeze Corporation Marine sanctuary,2033,1,19025,185060
Aqua Anchor Kga Holdings,Mar del Este CJSC,2028,22,389625,NA
Aqua Anchor Kga Holdings,Mar del Este CJSC,2029,12,226300,1964885
Aqua Anchor Kga Holdings,Mar del Este CJSC,2030,8,152450,1117555
Aqua Anchor Kga Holdings,Mar del Este CJSC,2031,7,133955,1263515
Aqua Anchor Kga Holdings,Mar del Este CJSC,2032,1,22900,188110
Aqua Anchor Kga Holdings,Mar del Este CJSC,2033,1,20600,181045
Aqua Anchor Kga Holdings,Saltwater Supreme ОАО Forwading,2028,12,220645,2378060
Aqua Anchor Kga Holdings,Saltwater Supreme ОАО Forwading,2029,7,128695,1494950
Aqua Anchor Kga Holdings,Saltwater Supreme ОАО Forwading,2030,11,202225,1912915
Aqua Anchor Kga Holdings,Saltwater Supreme ОАО Forwading,2031,13,239025,2275195
Aqua Anchor Kga Holdings,Saltwater Supreme ОАО Forwading,2033,3,55155,504205
Aqua Anchor Kga Holdings,Saltwater Supreme ОАО Forwading,2034,9,193210,1695660
Aqua Aura LLC Investment,David Ltd. Liability Co Forwading,2028,14,306310,1259865
Aqua Aura LLC Investment,David Ltd. Liability Co Forwading,2029,55,1165470,5015090
Aqua Aura LLC Investment,David Ltd. Liability Co Forwading,2030,47,1013460,5149975
Aqua Aura LLC Investment,David Ltd. Liability Co Forwading,2031,130,2788055,14352755
Aqua Aura LLC Investment,David Ltd. Liability Co Forwading,2032,132,2780305,18351010
Aqua Aura LLC Investment,David Ltd. Liability Co Forwading,2033,88,1846485,NA
Aqua Aura LLC Investment,David Ltd. Liability Co Forwading,2034,25,583665,3443550
Aqua Aura LLC Investment,hǎi dǎn Corporation Wharf,2028,61,1368875,6208875
Aqua Aura LLC Investment,hǎi dǎn Corporation Wharf,2029,39,864325,NA
Aqua Aura LLC Investment,hǎi dǎn Corporation Wharf,2030,13,291525,1503865
Aqua Aura LLC Investment,hǎi dǎn Corporation Wharf,2032,1,22710,172020
Aqua Aura Nori Ltd. Corporation Brothers,Mar del Este CJSC,2031,148,7069110,18252935
Aqua Aura Nori Ltd. Corporation Brothers,Mar del Este CJSC,2032,165,8210205,29693515
Aqua Aura Nori Ltd. Corporation Brothers,Mar del Este CJSC,2033,50,2863570,11499415
Aqua Aura Nori Ltd. Corporation Brothers,páng xiè S.A. de C.V. Line,2028,132,8437065,39462905
Aqua Aura Nori Ltd. Corporation Brothers,páng xiè S.A. de C.V. Line,2030,76,5616705,15785855
Aqua Aura Nori Ltd. Corporation Brothers,páng xiè S.A. de C.V. Line,2031,42,3017305,8299440
Aqua Aura SE Marine life,Adriatic Mackerel Ges.m.b.H. Family,2031,21,404735,5372550
Aqua Aura SE Marine life,Adriatic Mackerel Ges.m.b.H. Family,2032,31,599875,11287460
Aqua Aura SE Marine life,Adriatic Mackerel Ges.m.b.H. Family,2033,143,3021050,NA
Aqua Aura SE Marine life,Adriatic Mackerel Ges.m.b.H. Family,2034,116,2415150,47021625
Aqua Aura SE Marine life,Caracola del Sol Services,2028,16,482890,5685880
Aqua Aura SE Marine life,Caracola del Sol Services,2029,104,2896955,31039330
Aqua Aura SE Marine life,Caracola del Sol Services,2030,99,2132965,23618105
Aqua Aura SE Marine life,Caracola del Sol Services,2031,90,1774060,16336550
Aqua Aura SE Marine life,Caracola del Sol Services,2034,2,18905,270170
Aqua Aura SE Marine life,Costa de la Felicidad Shipping,2028,8,369275,1953805
Aqua Aura SE Marine life,Costa de la Felicidad Shipping,2029,22,737830,11750920
Aqua Aura SE Marine life,Costa de la Felicidad Shipping,2030,31,824840,10954680
Aqua Aura SE Marine life,Costa de la Felicidad Shipping,2031,25,521115,5629410
Aqua Aura SE Marine life,Costa de la Felicidad Shipping,2032,7,202480,2067775
Aqua Aura SE Marine life,Costa de la Felicidad Shipping,2033,7,201845,1671170
Aqua Aura SE Marine life,Costa de la Felicidad Shipping,2034,12,483525,1783965
Aqua Aura SE Marine life,Océano de Coral Corporation Express,2028,19,408990,4522415
Aqua Aura SE Marine life,Océano de Coral Corporation Express,2029,10,185005,976610
Aqua Aura SE Marine life,Océano de Coral Corporation Express,2030,8,137465,1289630
Aqua Aura SE Marine life,Océano de Coral Corporation Express,2031,46,867030,7439570
Aqua Aura SE Marine life,Océano de Coral Corporation Express,2032,25,736805,4867340
Aqua Aura SE Marine life,Océano de Coral Corporation Express,2033,12,265595,2112150
Aqua Aura SE Marine life,Océano de Coral Corporation Express,2034,41,2367805,NA
Aqua Aura SE Marine life,Olas del Mar Worldwide,2029,2,212100,1590855
Aqua Aura SE Marine life,Olas del Mar Worldwide,2030,35,3904720,8898720
Aqua Aura SE Marine life,Olas del Mar Worldwide,2031,51,11364440,20136205
Aqua Aura SE Marine life,Olas del Mar Worldwide,2032,53,8549135,22414175
Aqua Aura SE Marine life,Olas del Mar Worldwide,2033,2,99825,810675
Aqua Aura SE Marine life,Saltwater Supreme Pelican Ltd Enterprises,2034,66,1714295,44412630
Aqua Aura SE Marine life,SeaTree Ltd. Liability Co Holdings,2028,8,254215,2722695
Aqua Aura SE Marine life,SeaTree Ltd. Liability Co Holdings,2029,12,397270,4073925
Aqua Aura SE Marine life,SeaTree Ltd. Liability Co Holdings,2030,6,136255,1288185
Aqua Aura SE Marine life,SeaTree Ltd. Liability Co Holdings,2031,4,367840,4623265
Aqua Aura SE Marine life,SeaTree Ltd. Liability Co Holdings,2032,8,328860,7276075
Aqua Aura SE Marine life,SeaTree Ltd. Liability Co Holdings,2033,5,247285,8505810
Aqua Aura SE Marine life,SeaTree Ltd. Liability Co Holdings,2034,11,647205,13423595
Aqua Aura SE Marine life,Selous Game Reserve  S.A. de C.V.,2030,2,54235,84865
Aqua Aura SE Marine life,Selous Game Reserve  S.A. de C.V.,2031,2,368980,898430
Aqua Aura SE Marine life,Selous Game Reserve  S.A. de C.V.,2032,2,540135,958615
Aqua Aura SE Marine life,Selous Game Reserve  S.A. de C.V.,2033,42,7725975,45628995
Aqua Aura SE Marine life,Selous Game Reserve  S.A. de C.V.,2034,152,16506170,NA
Aqua Aura SE Marine life,Yu xian  SRL Industrial,2028,12,282515,5777105
Aqua Aura SE Marine life,Yu xian  SRL Industrial,2029,12,252235,4000405
